stop_id,stop_name,stop_lat,stop_lon,agency,routes,municipality,shading,shade_coverage,shade_sources,review_status,confidence,ridership,priority_score,heat_vulnerability_label,stop_code,nearby_destinations,tree_canopy_pct,heat_vulnerability_index,lst_median
7850,12268 Telecom Drive,28.062714,-82.373212,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7850,,,,
7849,12518 Telecom Drive,28.059103,-82.377047,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7849,,,,
7848,13000 Telecom Drive,28.062002,-82.3789,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7848,,,,
8099,131 Av @ 19S,28.065451,-82.43927,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,8099,,,,
8100,131 Av @ 22nd St,28.065432,-82.435184,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,8100,,,,
7847,13118 Telecom Drive,28.064264,-82.376455,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7847,,,,
3081,131st Av @ 15th St,28.065514,-82.44294,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,3081,,,,
3082,131st Av @ 15th St,28.065659,-82.442727,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,3082,,,,
3077,131st Av @ 23rd St,28.065554,-82.432328,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,3077,,,,
4491,131st Av @ 23rd St,28.065432,-82.432457,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,4491,,,,
3080,131st Ave @ 19th St,28.065605,-82.438509,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,3080,,,,
6962,131st Ave @ 22nd St,28.065604,-82.435042,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,6962,,,,
3075,131st Ave @ Bruce B Downs Blvd,28.065622,-82.427348,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,3075,,,,
3086,131st Ave @ Bruce B Downs Blvd,28.065459,-82.427307,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,3086,,,,
7851,13507 Telecom Pkwy,28.064135,-82.371903,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7851,,,,
2355,14th Av SE @ 15th St SE,27.70591,-82.414554,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,2355,,,,
2363,14th Av SE @ 15th St SE,27.705768,-82.414798,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,2363,,,,
5828,14th Av SE @ 21st St SE,27.705712,-82.406822,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,5828,,,,
2357,14th Av SE @ 6th St SE,27.705993,-82.427375,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,2357,,,,
2361,14th Av SE @ 6th St SE,27.705866,-82.426688,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,2361,,,,
2356,14th Av SE @ 9th St SE,27.705958,-82.423335,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,2356,,,,
5821,14th Av SE @ 9th St SE,27.705794,-82.422589,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,5821,,,,
5423,14th Av SE @ Joyce Ely Health   Cen,27.705974,-82.431282,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,5423,,,,
4863,14th St @ 21st Av,27.970756,-82.444258,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,4863,,0.396592,7.184348,98.0
4860,14th St @ 26th Av,27.974277,-82.444333,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,4860,,0.373076,5.689995,100.0
4858,14th St @ 29th Av,27.977021,-82.444322,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,4858,,0.373076,5.689995,100.0
794,15th St @ 109th Ave,28.047562,-82.44284,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,794,,0.247589,7.479586,100.0
818,15th St @ 109th Ave,28.047349,-82.442913,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,818,,0.247589,7.479586,100.0
813,15th St @ 113th Ave,28.051046,-82.442909,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,813,,0.247589,7.479586,100.0
799,15th St @ 122nd Ave,28.057863,-82.442757,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,799,,,,
809,15th St @ 122nd Ave,28.058403,-82.442881,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,809,,,,
4919,15th St @ 124th Ave,28.060244,-82.442747,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,4919,,,,
808,15th St @ 124th Ave,28.060313,-82.44287,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,808,,,,
801,15th St @ 127th Ave,28.061802,-82.442757,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,801,,,,
807,15th St @ 127th Ave,28.062077,-82.442864,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,807,,,,
4849,15th St @ 130th Ave,28.064702,-82.442885,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,4849,,,,
806,15th St @ 131st Ave,28.06536,-82.442747,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,806,,,,
765,15th St @ 17th Av,27.967327,-82.442925,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,765,,0.180304,6.114634,100.0
767,15th St @ 21st Av,27.970374,-82.442933,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Elevated Vulnerability,767,,0.314156,7.79352,101.0
769,15th St @ 26th Av,27.974069,-82.442854,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Elevated Vulnerability,769,,0.314156,7.79352,101.0
837,15th St @ 33st Av,27.980527,-82.442936,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,837,,0.248815,7.311105,101.0
792,15th St @ Bougainvillea Ave,28.043429,-82.442797,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,792,,0.510018,5.015823,96.0
817,15th St @ Bougainvillea Ave,28.043723,-82.442919,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,817,,0.415663,7.225032,96.0
6679,15th St @ Bunn Cr,28.067714,-82.442757,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,6679,,,,
793,15th St @ Charm Ln,28.045638,-82.442787,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Elevated Vulnerability,793,,0.423354,7.530963,99.0
775,15th St @ Chelsea St,27.985019,-82.442855,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,775,,0.483642,5.066517,96.0
834,15th St @ Chelsea St,27.984847,-82.442976,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,834,,0.53959,5.866803,97.0
4850,15th St @ College Park Ln,28.055513,-82.442903,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,4850,,,,
7034,15th St @ College Park Ln,28.055626,-82.442757,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7034,,,,
779,15th St @ Ellicott St,27.991186,-82.442855,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,779,,0.441089,6.18195,99.0
830,15th St @ Ellicott St,27.991313,-82.443048,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,830,,0.480291,4.982756,99.0
797,15th St @ Fowler Ave,28.053987,-82.442767,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Elevated Vulnerability,797,,0.423354,7.530963,99.0
810,15th St @ Fowler Ave,28.053306,-82.442921,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,810,,0.247589,7.479586,100.0
781,15th St @ Frierson Av,27.994129,-82.442855,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,781,,0.441089,6.18195,99.0
828,15th St @ Frierson Av,27.994474,-82.443028,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,828,,0.480291,4.982756,99.0
782,15th St @ Hillsborough Av,27.995588,-82.442845,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,782,,0.441089,6.18195,99.0
4813,15th St @ M L King Jr Blvd,27.980845,-82.442868,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,4813,,0.248815,7.311105,101.0
836,15th St @ M L King Jr Blvd,27.981725,-82.442996,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,836,,0.53959,5.866803,97.0
777,15th St @ Osborne Av,27.988623,-82.442845,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,777,,0.573225,6.267712,97.0
832,15th St @ Osborne Av,27.988881,-82.44298,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Least Vulnerable,832,,0.561852,3.578476,98.0
791,15th St @ Poinsettia Ave,28.041627,-82.442797,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,791,,0.510018,5.015823,96.0
815,15th St @ Poinsettia Ave,28.041864,-82.44292,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,815,,0.489676,6.00878,98.0
771,15th St @ Rodney St,27.977402,-82.442814,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,771,,0.248815,7.311105,101.0
816,15th St @ Seneca Ave,28.045873,-82.442916,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,816,,0.415663,7.225032,96.0
