stop_id,shading,heat_vulnerability_index,heat_vulnerability_label,tree_canopy_pct,lst_median,shade_coverage,shade_sources
86,No Shade,Unknown,Unknown,Unknown,Unknown,No Shade,None
403,Unknown,5.960978,Moderate Vulnerability,0.059789,101.000000,Unknown,None
404,Unknown,7.834108,Moderate Vulnerability,0.110720,102.000000,Unknown,None
407,Unknown,7.834108,Moderate Vulnerability,0.110720,102.000000,Unknown,None
424,Unknown,5.866803,Low Vulnerability,0.539590,97.000000,Unknown,None
439,Unknown,4.461370,Low Vulnerability,0.508160,96.000000,Unknown,None
447,Unknown,5.429457,Low Vulnerability,0.652729,94.000000,Unknown,None
453,Unknown,7.842944,Elevated Vulnerability,0.407202,98.000000,Unknown,None
462,Unknown,6.008780,Low Vulnerability,0.489676,98.000000,Unknown,None
469,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
478,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
484,Unknown,7.863879,Elevated Vulnerability,0.260312,99.000000,Unknown,None
487,Unknown,6.756816,Moderate Vulnerability,0.296808,99.000000,Unknown,None
495,Unknown,6.888769,Moderate Vulnerability,0.299101,99.000000,Unknown,None
499,Unknown,8.387570,Elevated Vulnerability,0.375265,97.000000,Unknown,None
501,Unknown,8.387570,Elevated Vulnerability,0.375265,97.000000,Unknown,None
509,Unknown,5.378267,Low Vulnerability,0.382912,100.000000,Unknown,None
522,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
524,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
526,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
538,Unknown,8.725452,Elevated Vulnerability,0.164497,100.000000,Unknown,None
546,Unknown,8.725452,Elevated Vulnerability,0.164497,100.000000,Unknown,None
551,Unknown,8.060888,Elevated Vulnerability,0.258005,99.000000,Unknown,None
553,Unknown,6.136434,Moderate Vulnerability,0.413357,96.000000,Unknown,None
554,Unknown,5.160704,Low Vulnerability,0.465070,96.000000,Unknown,None
556,Unknown,5.160704,Low Vulnerability,0.465070,96.000000,Unknown,None
558,Unknown,5.160704,Low Vulnerability,0.465070,96.000000,Unknown,None
559,Unknown,9.100336,Elevated Vulnerability,0.276327,101.000000,Unknown,None
562,Unknown,6.190691,Moderate Vulnerability,0.305430,99.000000,Unknown,None
563,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
564,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
566,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
569,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
572,Unknown,5.242293,Low Vulnerability,0.392160,99.000000,Unknown,None
574,Unknown,5.242293,Low Vulnerability,0.392160,99.000000,Unknown,None
575,Unknown,5.242293,Low Vulnerability,0.392160,99.000000,Unknown,None
580,Unknown,6.047873,Moderate Vulnerability,0.403308,97.000000,Unknown,None
582,Unknown,6.047873,Moderate Vulnerability,0.403308,97.000000,Unknown,None
583,Unknown,6.787153,Moderate Vulnerability,0.407631,98.000000,Unknown,None
585,Unknown,6.787153,Moderate Vulnerability,0.407631,98.000000,Unknown,None
587,Unknown,8.387570,Elevated Vulnerability,0.375265,97.000000,Unknown,None
588,Unknown,8.387570,Elevated Vulnerability,0.375265,97.000000,Unknown,None
590,Unknown,6.888769,Moderate Vulnerability,0.299101,99.000000,Unknown,None
591,Unknown,6.265869,Moderate Vulnerability,0.303981,100.000000,Unknown,None
592,Unknown,7.993709,Moderate Vulnerability,0.180105,102.000000,Unknown,None
593,Unknown,7.993709,Moderate Vulnerability,0.180105,102.000000,Unknown,None
595,Unknown,7.993709,Moderate Vulnerability,0.180105,102.000000,Unknown,None
596,Unknown,5.374166,Low Vulnerability,0.421043,97.000000,Unknown,None
597,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
598,Unknown,Unknown,Least Vulnerable,Unknown,Unknown,Unknown,None
599,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
601,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
619,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
624,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
626,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
